Location,Variant,LocID,VarID,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
World,Medium,900,2,1950,1950.5,1266259.5559999999,1270171.462,2536431.018,19.497
World,Medium,900,2,1951,1951.5,1290237.638,1293796.5890000002,2584034.227,19.863
World,Medium,900,2,1952,1952.5,1313854.565,1317007.125,2630861.69,20.223
World,Medium,900,2,1953,1953.5,1337452.7859999998,1340156.275,2677609.0609999998,20.581999999999997
World,Medium,900,2,1954,1954.5,1361313.834,1363532.92,2724846.7539999997,20.945
World,Medium,900,2,1955,1955.5,1385658.299,1387361.616,2773019.915,21.316
World,Medium,900,2,1956,1956.5,1410643.208,1411800.0459999999,2822443.2539999997,21.695
World,Medium,900,2,1957,1957.5,1436364.62,1436941.438,2873306.058,22.086
World,Medium,900,2,1958,1958.5,1462864.322,1462822.358,2925686.68,22.489
World,Medium,900,2,1959,1959.5,1490141.399,1489434.7480000001,2979576.147,22.903000000000002
World,Medium,900,2,1960,1960.5,1518186.7019999998,1516763.013,3034949.715,23.329
World,Medium,900,2,1961,1961.5,1547019.3530000001,1544824.16,3091843.5130000003,23.766
World,Medium,900,2,1962,1962.5,1576718.9030000002,1573701.858,3150420.7610000004,24.215999999999998
World,Medium,900,2,1963,1963.5,1607439.247,1603561.699,3211000.9460000005,24.682
World,Medium,900,2,1964,1964.5,1639369.3280000002,1634608.9440000001,3273978.272,25.166
World,Medium,900,2,1965,1965.5,1672618.879,1666964.631,3339583.51,25.671
World,Medium,900,2,1966,1966.5,1707237.638,1700684.993,3407922.631,26.195999999999998
World,Medium,900,2,1967,1967.5,1743114.2219999998,1735655.882,3478770.104,26.74
World,Medium,900,2,1968,1968.5,1779990.92,1771608.5159999998,3551599.436,27.3
World,Medium,900,2,1969,1969.5,1817510.8,1808170.165,3625680.965,27.87
World,Medium,900,2,1970,1970.5,1855390.166,1845046.876,3700437.042,28.444000000000003
World,Medium,900,2,1971,1971.5,1893576.3180000002,1882183.7119999998,3775760.03,29.023000000000003
World,Medium,900,2,1972,1972.5,1932065.884,1919584.7040000001,3851650.588,29.607
World,Medium,900,2,1973,1973.5,1970688.779,1957091.74,3927780.519,30.191999999999997
World,Medium,900,2,1974,1974.5,2009259.494,1994534.6840000001,4003794.1780000003,30.776
World,Medium,900,2,1975,1975.5,2047666.0259999998,2031814.448,4079480.474,31.358
World,Medium,900,2,1976,1976.5,2085824.4530000002,2068842.374,4154666.827,31.936
World,Medium,900,2,1977,1977.5,2123811.87,2105694.049,4229505.919,32.510999999999996
World,Medium,900,2,1978,1978.5,2161887.5919999997,2142646.0069999998,4304533.598999999,33.088
World,Medium,900,2,1979,1979.5,2200418.504,2180087.681,4380506.185,33.672
World,Medium,900,2,1980,1980.5,2239689.027,2218314.4390000002,4458003.466,34.268
World,Medium,900,2,1981,1981.5,2279673.275,2257323.344,4536996.619,34.875
World,Medium,900,2,1982,1982.5,2320329.605,2297056.921,4617386.526000001,35.493
World,Medium,900,2,1983,1983.5,2361892.5840000003,2337676.603,4699569.187,36.124
World,Medium,900,2,1984,1984.5,2404645.374,2379366.143,4784011.517,36.773
World,Medium,900,2,1985,1985.5,2448724.603,2422197.063,4870921.666,37.442
World,Medium,900,2,1986,1986.5,2494279.319,2466288.681,4960568.0,38.131
World,Medium,900,2,1987,1987.5,2541075.233,2511446.765,5052521.998,38.836999999999996
World,Medium,900,2,1988,1988.5,2588387.929,2557038.065,5145425.994,39.552
World,Medium,900,2,1989,1989.5,2635233.492,2602207.942,5237441.433999999,40.259
World,Medium,900,2,1990,1990.5,2680895.262,2646335.779,5327231.041,40.949
World,Medium,900,2,1991,1991.5,2725113.1789999995,2689176.204,5414289.382999999,41.618
World,Medium,900,2,1992,1992.5,2768050.729,2730869.164,5498919.892999999,42.269
World,Medium,900,2,1993,1993.5,2809940.82,2771656.778,5581597.597999999,42.903999999999996
World,Medium,900,2,1994,1994.5,2851196.9960000003,2811953.432,5663150.427999999,43.531000000000006
World,Medium,900,2,1995,1995.5,2892141.5489999996,2852071.381,5744212.93,44.153999999999996
World,Medium,900,2,1996,1996.5,2932815.962,2892075.9689999996,5824891.931,44.773999999999994
World,Medium,900,2,1997,1997.5,2973160.99,2931884.6569999997,5905045.647000001,45.391000000000005
World,Medium,900,2,1998,1998.5,3013295.709,2971498.3660000004,5984794.075,46.004
World,Medium,900,2,1999,1999.5,3053349.42,3010889.613,6064239.033,46.614
World,Medium,900,2,2000,2000.5,3093433.858,3050059.9480000003,6143493.806,47.223
World,Medium,900,2,2001,2001.5,3133601.7610000004,3089024.77,6222626.531,47.832
World,Medium,900,2,2002,2002.5,3173900.4489999996,3127872.723,6301773.172,48.44
World,Medium,900,2,2003,2003.5,3214422.0310000004,3166763.11,6381185.141,49.051
World,Medium,900,2,2004,2004.5,3255262.626,3205896.765,6461159.391,49.665
World,Medium,900,2,2005,2005.5,3296485.267,3245421.689,6541906.956,50.286
World,Medium,900,2,2006,2006.5,3338132.9289999995,3285384.988,6623517.917,50.913000000000004
World,Medium,900,2,2007,2007.5,3380183.02,3325763.623,6705946.642999999,51.547
World,Medium,900,2,2008,2008.5,3422546.3819999998,3366542.29,6789088.672,52.18600000000001
World,Medium,900,2,2009,2009.5,3465089.423,3407677.565,6872766.988,52.82899999999999
World,Medium,900,2,2010,2010.5,3507703.635,3449119.953,6956823.5879999995,53.475
